Ciudad,Clave cd,Entidad,Derecho,MA,Sociedad,Político,Gobierno,Mercado laboral,Economía,Precursores,RI,Innovación,GENERAL
Guadalajara,20,Jalisco,60.8038479649,62.846250417,54.9392408963,45.6329858662,60.5312005173,48.5095116908,51.388058707,61.120452173,37.1027579748,21.9691229095,51.5397525735
Ocotlán,22,Jalisco,62.8355716499,54.5639870614,48.0303213543,42.6293037728,50.1369897351,50.9960434102,38.7390439605,30.9157501313,19.033310496,14.4659547061,41.6111039037
Puerto Vallarta,21,Jalisco,59.6226813532,70.0908726201,49.4333333315,36.9342829738,65.9899351919,53.6402805491,41.1938025745,53.5881392186,52.9552278521,18.3767140654,51.2319414571
Toluca,23,México,50.7148747018,54.2360980435,46.5093700162,49.2693851777,39.5654848199,38.366716395,51.2005297241,34.1981834836,27.7313788776,12.225696872,40.7691923011
Zamora-Jacona,25,Michoacán,65.5480318382,59.499139806,43.9276699491,29.9290088535,53.0054633206,50.5239970631,57.9386340755,33.8018134712,7.8044927598,17.9871023743,42.5678561185
Morelia,24,Michoacán,64.0445563485,65.0305575642,50.0153855275,40.9727860119,58.7773935429,49.6720900417,47.2314569233,41.0624921959,35.4281747619,18.0779609909,47.7558234906
Uruapan,67,Michoacán,65.6233190274,55.6821165755,55.0489193873,32.174538363,56.6255567564,52.4758533912,49.8051142303,33.0134494387,8.7686471946,13.6239982055,43.0958106358
Cuautla,28,Morelos,46.9853796728,62.6623722792,49.2899266749,45.5070925908,48.4239815221,39.1795592899,42.7188326126,34.2138427784,11.1899375754,26.410106147,41.0306687459
Cuernavaca,27,Morelos,40.2846863464,72.4440344841,51.4074053353,57.2692876302,55.7080876934,38.9423684933,43.9573395619,38.9400279581,20.0567978964,26.9325645957,45.0037175199
Tepic,29,Nayarit,62.8715552093,67.2628848967,53.2121727752,61.4467564865,58.6752118716,47.96020744,43.5108624175,45.1665361714,23.0680903843,10.2543792156,48.0019501044
Monterrey,30,Nuevo León,68.7904058023,62.9618597021,58.0317534261,14.7900778669,64.0190918847,49.3605035871,55.13261474,64.4842476162,45.6229562485,42.029531915,53.919625213
Oaxaca,31,Oaxaca,67.6764253679,35.3789227747,48.5365724474,59.3487251072,45.996678428,44.1401015263,46.2588708834,48.159439032,22.2552542207,15.3792003887,43.7375777003
Tehuantepec-Salina Cruz,32,Oaxaca,66.0829277606,65.9665066771,41.9598856888,46.4996865156,55.2219996402,75.751249281,42.6076271007,34.9971817784,16.5322081649,5.6142792236,45.2162409807
Puebla-Tlaxcala,33,Puebla,61.1524728749,72.104285816,51.4140003461,44.6845231406,44.9492501346,46.8704674958,45.7174901632,41.819932087,30.1145930251,33.2428790347,47.4567871465
Tehuacán,34,Puebla,57.5781998219,60.8478096497,48.143921779,38.3283367775,41.1054381057,39.3651000449,40.3725572492,34.1374707582,12.7830490853,15.058481013,39.313051599
Querétaro,35,Querétaro,68.5406658688,59.7997217054,52.7019979001,47.5013091314,69.5931359553,40.635973587,55.5118155164,45.452925947,57.1253164832,31.4545769126,53.6793126756
San Juan del Río,68,Querétaro,72.3327754737,67.0696191219,47.3225988933,45.6789813558,64.5899053202,38.3948788354,34.1758661003,30.5403618605,26.5317707973,14.9462876648,44.921015027
Cancún,36,Quintana Roo,60.6086588229,74.0405877816,57.2830780578,35.8295229408,52.1624172529,48.3179737144,64.313292822,66.152905299,57.7403803985,8.9823682873,53.9790007896
Chetumal ,76,Quintana Roo,48.6193042937,57.772995797,51.1682764627,44.5310713368,39.4889856884,52.4886397151,49.8800668419,43.9853323149,8.8404302665,7.276705978,40.9406117834
Rioverde-Ciudad Fernández,38,San Luis Potosí,66.3090286891,41.4302790787,47.0271471863,35.81725297,54.8523187364,39.2878020332,38.0407670481,29.1708058271,10.9764796231,4.8877126411,37.668718359
San Luis Potosí-Soledad,37,San Luis Potosí,63.7481602968,50.346119506,54.9075389577,39.3421213851,66.9552019942,46.7464036935,54.2989068431,49.054658906,34.1448829429,23.0352006864,49.3348451551
Los Mochis,69,Sinaloa,55.3695605243,65.7819917111,54.4532454546,38.4102599643,66.3979309367,52.0513930036,46.1038605744,36.1676601813,13.2499203673,19.3327916058,45.5574490688
Culiacán,70,Sinaloa,49.1909552971,73.4612321526,55.4369984356,34.7634437304,68.6933241547,51.7818541383,68.0807014682,45.6357482683,16.0672964588,20.6016508216,49.4627875002
Mazatlán,71,Sinaloa,63.468312719,64.055642593,53.7802773944,36.6791819983,64.5384228337,52.5466905929,46.9629573756,49.3506435933,37.0707667545,23.8123721837,50.1818743655
Ciudad Obregon ,72,Sonora,62.7264745477,60.7586907524,58.6771605527,40.2545431772,62.8766392351,48.946383217,40.9518075935,52.4774948916,16.9777330968,19.3248595497,47.5354643314
Guaymas,39,Sonora,66.4334208673,45.0252659555,39.632365885,38.849801425,48.8641337907,56.3355555918,41.5061971192,47.7457920821,24.9262092107,42.5074102866,45.1756011989
Hermosillo,73,Sonora,69.1750387446,41.8561900442,63.4952938841,41.1384823463,65.6886826893,48.0501979412,49.0889816012,60.060941387,26.6548955541,26.5502255076,50.4515232886
Cárdenas,74,Tabasco,60.0874060392,67.2201939073,45.1393268472,44.0433269121,37.7662182611,43.9068355891,27.8981502661,29.4409174889,10.9740066447,5.5179248421,37.5388688723
Villahermosa,40,Tabasco,64.4571981772,63.5831162861,52.7068695127,43.2668235405,50.5288850738,36.5399281776,47.1489463828,37.251189688,21.7929269435,13.4967674487,43.9037999112
Tampico-Pánuco,41,Tamaulipas,68.6237565884,61.9960979819,51.2034560522,50.0072195488,52.4264502951,47.4827349229,45.582293397,49.227066916,29.3818807118,12.6380055817,47.6081207283
Matamoros,43,Tamaulipas,72.1932583342,64.947403163,46.0831493654,18.8924541116,51.1063846341,54.1103082454,30.6501740421,48.7981542219,17.4745658303,6.2067516784,42.2066936814
Nuevo Laredo,44,Tamaulipas,46.0105777615,65.2704223203,46.4919604269,16.8022314325,38.9803749412,48.5383867829,35.3644265693,34.4497962667,17.2287664235,13.1666388052,36.9549399482
Reynosa-Río Bravo,42,Tamaulipas,72.5397280856,65.1212473608,43.9572024673,33.0453738551,49.2283643039,47.8777277422,35.0995952593,40.8709194222,20.5723530727,8.7722931764,42.4863884302
Ciudad Victoria,75,Tamaulipas,75.0086472451,73.200380728,62.1890253079,43.5204552941,52.3143979897,48.9266478292,39.5887252578,51.9677692685,12.5689347208,10.4193343418,48.0781097793
Tlaxcala-Apizaco,45,Tlaxcala,63.057178378,64.8046489763,54.7783693767,58.0171076061,45.2798627295,43.4727645428,33.7020146736,36.4161540332,6.9768848647,12.4331902371,42.2962992507
Veracruz,46,Veracruz,61.5241931352,69.8642069373,55.9188613617,52.1820501344,57.5207241489,46.7731858408,56.196269597,50.470197344,17.0016733325,14.5250530573,49.0804444676
Córdoba,52,Veracruz,66.7293993008,51.0392536895,43.5998607723,69.9387845001,49.6464822543,47.7817560601,51.7021516582,40.3253490418,7.0396740214,13.4418519916,44.1833063986
Orizaba,49,Veracruz,58.1516442423,44.7824695598,46.9148288818,71.1301525041,52.5634133056,49.2044379218,44.5991290255,39.3734117346,7.0326284315,12.8095247767,42.7692195376
Xalapa,47,Veracruz,61.4156175048,51.1578311453,53.4667143692,66.4544640069,57.5979770536,47.2279628378,54.2854600202,40.7576100828,9.7565868247,15.4236318466,46.1604948709
Poza Rica,48,Veracruz,59.1535685564,45.5901419496,35.0173463724,62.2083446325,48.8599574395,45.4752966616,45.2113257592,31.0729299231,12.685300582,6.8928295934,39.2393595253
Coatzacoalcos,51,Veracruz,60.9866024043,53.8480949834,50.1679833738,68.2281981721,60.5524372231,56.1775691631,45.7914003988,43.8292994414,14.7943211543,9.6926504456,46.7741149865
Minatitlán,50,Veracruz,60.061260207,45.8161794934,41.7281788305,67.3596421774,48.5118198327,61.8993112635,41.4389619014,40.2337820971,9.2052450637,9.7157418345,42.4672987966
Mérida,53,Yucatán,77.2932961201,66.1726650044,51.6506047801,60.8216658384,51.12230943,45.8381021016,53.1539085983,44.0384717587,18.8847813803,21.3278792893,49.3738048277
Zacatecas-Guadalupe,54,Zacatecas,50.9510417521,47.7222783842,58.7180868922,58.6446909965,53.1972326883,47.6432125249,51.6254419103,48.2404948781,33.5053573369,19.9419478268,47.6174929002
